found_folder,file_name,chainid,lastupdatedate,subchainid,storeid,bikoretno,storetype,chainname,subchainname,storename,address,city,zipcode
,,,,,89,,,,,דיל עזריאלי - רמלה,שמשון הגיבור 32,רמלה,72500
,,,,1,117,,,,שופרסל שלי,שלי תל אביב-איכילוב,ויצמן 6,"ת""א",6423914
,,,,5,681,,,,Be,BE שהם,הדקל 30 מתחם שוהם מרקט,שוהם,
,,,,1,30,,,,שופרסל שלי,שלי רמת גן- קריניצי,יוסף ספיר 9,רמת גן,5262209
,,,,,39,,,,,"שלי ת""א- ברזיל",ברזיל 15,רמת אביב א,6946025
,,,,2,77,,,,שופרסל דיל,דיל  חריש,דרך ארץ,חריש,
,,,,7,84,,,,שופרסל אקספרס,אקספרס בית חשמונאי,אקספרס בית חשמונאי,בית חשמונאי,
,,,,6,349,,,,יש חסד,יש חסד צפת- כנען,הר כנען,צפת,13200
,,,,5,145,,,,Be,BE נתיבות,,,
,,,,2,163,,,,שופרסל דיל,דיל שדרות- הפלדה,הפלדה קניון אחים,שדרות,80100
,,,,,188,,,,,דיל ירוחם- צבי בורנשטיין,צבי בורנשטין,ירוחם,8050000
,,,,,245,,,,,דיל ירושלים- פסגת זאב,שד' משה דין 106,ירושלים,9783701
,,,,7,265,,,,שופרסל אקספרס,אקספרס חולון - זלמן ארן,זלמן ארן 1,חולון,
,,,,1,308,,,,שופרסל שלי,שלי קרית אתא- איינשטין,איינשטיין 20,קרית אתא,2805152
,,,,,366,,,,,שלי כפר ורדים- מרכז מסחר,מרכז מסחרי כפר ו,כפר ורדים,2451700
,,,,7,384,,,,שופרסל אקספרס,אקספרס קרית ביאליק,שדרות ירושלים 15,קרית ביאליק,
,,,,5,392,,,,Be,BE שילת,הזית פינת גלבוע,שילת,
,,,,,617,7,1,,,BE נצרת,דרך החטיבות 4,נצרת,
,,,,,645,,,,,BE גבעת שמואל,ניו פארם גבעת שמואל,גבעת שמואל,
,,,,2,114,,,,שופרסל דיל,דיל ירושלים- גילה,צביה ויצחק 17,ירושלים,9384014
,,,,,119,,,,,דיל מודיעין- סנטר,צאלון   21,מודיעין,
,,,,,173,,,,,דיל כפר יונה,נעמי שמר,כפר יונה,
,,,,,187,,,,,דיל קניון מעלה אדומים,דרך קדם 5,מעלה אדומים,
,,,,,144,,,,,דיל שבירו כפר סבא,רפפורט 6,כפר סבא,
,,,,7,150,,,,שופרסל אקספרס,"אקספרס רודנסקי ת""א",רודנסקי 5,תל אביב,
,,,,2,155,7,1,,שופרסל דיל,דיל צור יגאל- מרכז מסחרי,מרכז מסחרי,צור יגאל,4486400
,,,,1,164,,,,שופרסל שלי,שלי רמת גן- ביאליק,רח. ביאליק 76,רמת גן,5244136
,,,,2,227,,,,שופרסל דיל,דיל-איקאה קרית אתא,דרך חיפה 52,קרית אתא,
,,,,,238,,,,,דיל באר יעקב,רח' שא - נס 17, באר יעקב,
,,,,,240,,,,,דיל רהט,מרכז מסחרי רהט,רהט,8535700
,,,,7,303,,,,שופרסל אקספרס,אקספרס טבעון - יהודה הנשיא,יהודה הנשיא,קרית טבעון,3604701
,,,,,354,,,,,"'אקספרס ת""א- קינג ג'ורג",קינג ג'ורג' 58,תל אביב,
